Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
0.899128	0.887743	0.010036	2.408595	20.400000	2.393992	20.990000	
0.822639	0.790133	0.009267	2.361819	26.100000	2.333402	26.610000	
0.840390	0.787879	0.008987	2.335758	29.160000	2.297846	30.210000	
0.808601	0.735899	0.008863	2.550091	27.760000	2.500767	28.890000	
0.838854	0.744114	0.008986	2.778490	26.840000	2.735451	27.620000	
0.818702	0.709100	0.008501	3.074223	24.360000	3.046194	25.280000	
0.812656	0.684106	0.008441	3.266448	23.540000	3.246816	24.720000	
0.837672	0.686106	0.008620	3.392170	24.560000	3.380068	25.190000	
0.849764	0.676200	0.008716	3.426248	26.060000	3.412352	26.600000	
0.869670	0.672859	0.008842	3.451835	26.540000	3.439752	27.220000	
0.909198	0.684359	0.009133	3.367868	27.680000	3.348832	28.550000	
0.934326	0.684859	0.009257	3.449901	27.020000	3.421072	28.340000	
0.929234	0.664490	0.009037	3.435454	27.580000	3.403919	28.270000	
0.965360	0.673666	0.009221	3.429821	29.100000	3.412105	29.630000	
1.016707	0.691387	0.009567	3.325569	28.800000	3.295088	29.500000	
0.992573	0.652999	0.009347	3.397739	28.900000	3.362102	29.610000	
1.030628	0.663760	0.009490	3.467243	28.340000	3.418736	28.990000	
1.045805	0.666225	0.009255	3.402091	29.640000	3.354227	30.260000	
1.070943	0.664885	0.009365	3.365370	30.020000	3.326806	30.020000	
1.107331	0.671100	0.009547	3.439046	28.820000	3.398457	29.150000	
1.179344	0.705640	0.009859	3.410525	28.980000	3.377237	29.270000	
1.134841	0.669275	0.009242	3.358450	29.000000	3.327995	29.380000	
1.164759	0.671118	0.009358	3.142240	33.440000	3.126194	33.330000	
1.215486	0.681790	0.009689	3.196348	32.860000	3.180296	32.910000	
1.226345	0.692394	0.009299	3.093267	33.080000	3.073196	33.400000	
1.294976	0.702020	0.009919	3.023182	31.620000	3.016066	31.830000	
1.283355	0.685746	0.009624	3.172387	31.640000	3.160403	32.180000	
1.293331	0.680385	0.009510	3.228366	31.340000	3.212061	31.930000	
1.347805	0.699189	0.009712	3.250022	31.480000	3.227423	31.930000	
1.328402	0.682142	0.009344	3.103596	33.640000	3.092170	33.800000	
1.346909	0.676170	0.009382	3.064815	34.620000	3.053443	34.980000	
1.373554	0.683279	0.009349	2.970163	35.320000	2.964151	35.700000	
